date,headline,source,url,origin,vader_compound
2025-01-15,It’s a Good (Great?) Time to Be a Big Bank (Published 2025),The New York Times,https://www.nytimes.com/2025/01/15/business/bank-earnings-goldman-jpmorgan-chase-wells-fargo.html,alphavantage,0.7906
2025-01-15,Major Banks Report Q4 2024 Earnings Before CPI,XTB.com,https://www.xtb.com/en/market-analysis/major-banks-report-q4-2024-earnings-before-cpi,alphavantage,0.0
2025-01-18,KBWB: Expecting Additional Big Bank Momentum (NASDAQ:KBWB),Seeking Alpha,https://seekingalpha.com/article/4750390-kbwb-expecting-additional-big-bank-momentum,alphavantage,0.0
2025-01-30,Frost Bank’s parent exceeds analysts’ expectations on increased lending,San Antonio Express-News,https://www.expressnews.com/business/article/cullen-frost-bank-fourth-quarter-report-20063673.php,alphavantage,0.2732
2025-02-10,Time for Bank ETFs?,TradingView,https://es.tradingview.com/news/zacks:da8495759094b:0-time-for-bank-etfs/,alphavantage,0.0
2025-02-17,"BOJ Dekati Akhir Penjualan Saham Bank, Fokus Beralih ke Aset ETF",Bloomberg Technoz,https://www.bloombergtechnoz.com/detail-news/63133/boj-dekati-akhir-penjualan-saham-bank-fokus-beralih-ke-aset-etf,alphavantage,0.0
2025-02-19,"Commercial Property Values Drive Optimism Around 2025 Investments, TD Bank Survey Finds",TD Bank,https://stories.td.com/us/en/article/commercial-property-values-drive-optimism-around-2025-investments-td-bank-survey-finds,alphavantage,0.7351
2025-03-20,"Australia's Feb unemployment rate remains unchanged at 4.1%, aligning with expectations",SeekingAlpha,https://seekingalpha.com/news/4422612-australias-feb-unemployment-rate-remains-unchanged-at-41-aligning-with-expectations?utm_source=finviz.com&utm_medium=referral&feed_item_type=news,finviz,-0.4404
2025-03-24,What Europe Stands To Lose From Trump's Latest Threatened Tariffs,SeekingAlpha,https://seekingalpha.com/article/4770038-what-europe-stands-to-lose-from-trumps-latest-threatened-tariffs?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,-0.6908
2025-03-25,"Australia As An Investing Opportunity: Stocks, Bonds And Real Estate",SeekingAlpha,https://seekingalpha.com/article/4770044-australia-as-an-investing-opportunity-stocks-bonds-and-real-estate?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,0.4215
2025-03-25,Weekly Commentary: In Defense Of The Constitution,SeekingAlpha,https://seekingalpha.com/article/4770127-weekly-commentary-in-defense-of-the-constitution?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,0.128
2025-03-27,Country ETF Dividends,SeekingAlpha,https://seekingalpha.com/article/4771061-country-etf-dividends?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,0.0
2025-03-29,Weekly Commentary: Critical Market Juncture,Seeking Alpha,https://seekingalpha.com/article/4771525-weekly-commentary-critical-market-juncture?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,-0.3182
2025-04-03,"Asia Takes Big Tariffs Hit: Vietnam, Thailand Most Affected, While Exemptions Ease Impact For India, Singapore",Seeking Alpha,https://seekingalpha.com/article/4772696-tariffs-asia-vietnam-thailand-most-hit-exemptions-ease-impact-india-singapore?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,0.1548
2025-04-10,What Should Be Your Stance on Bank ETFs Before Earnings Releases?,Nasdaq,https://www.nasdaq.com/articles/what-should-be-your-stance-bank-etfs-earnings-releases,alphavantage,0.0
2025-04-22,"Bank of America's shareholders OK executive compensations, elect directors",Reuters,https://www.reuters.com/sustainability/boards-policy-regulation/bank-americas-shareholders-ok-executive-compensations-elect-directors-2025-04-22/,alphavantage,0.4466
2025-04-23,The Best European Bank ETFs for Investors | Morningstar Europe,Morningstar Canada,https://global.morningstar.com/en-eu/etfs/best-european-bank-etfs-investors,alphavantage,0.6369
2025-04-26,Weekly Commentary: Hooked On Hedge Fund Leverage,Seeking Alpha,https://seekingalpha.com/article/4778456-weekly-commentary-hooked-on-hedge-fund-leverage?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,0.0
2025-04-30,"Australia's Core Inflation Falls Into Target Zone, Opening Room For A Rate Cut",Seeking Alpha,https://seekingalpha.com/article/4779570-australia-core-inflation-falls-into-target-zone-opening-room-rate-cut?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,-0.2732
2025-05-03,Weekly Commentary: The Typical And Atypical,Seeking Alpha,https://seekingalpha.com/article/4781463-weekly-commentary-the-typical-and-atypical?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz,0.0
2025-07-06,Rising credit card defaults put Argentine bank stocks on alert,Buenos Aires Herald,https://buenosairesherald.com/economics/rising-credit-card-defaults-put-argentine-bank-stocks-on-alert,alphavantage,0.5859
2025-07-08,"HSBC downgrades JPMorgan, Goldman, and BofA on bank stock rally concerns",InvestmentNews,https://www.investmentnews.com/equities/hsbc-downgrades-jpmorgan-goldman-and-bofa-on-bank-stock-rally-concerns/261208,alphavantage,0.0
2025-07-13,"April Grajales, Tampa Market Executive, Regions Bank",Capital Analytics Associates,https://capitalanalyticsassociates.com/april-grajales-tampa-market-executive-regions-bank/,alphavantage,0.0
2025-07-15,"News | Banks shrink exposure to problem office loans, led by Wells Fargo",CoStar,https://www.costar.com/article/2119927792/banks-shrink-exposure-to-problem-office-loans-led-by-wells-fargo,alphavantage,-0.1779
2025-07-18,"Watch Huntington Bank CFO: Q2 Earnings Were ""Phenomenal""",Bloomberg.com,https://www.bloomberg.com/news/videos/2025-07-18/huntington-bank-cfo-q2-earnings-were-phenomenal-video,alphavantage,0.0
2025-08-01,"KeyCorp, Independent Bank, Hope Bancorp, Home Bancshares, and Glacier Bancorp Stocks Trade Down, What You Need To Know",Yahoo Finance,https://finance.yahoo.com/news/keycorp-independent-bank-hope-bancorp-164055290.html,alphavantage,0.4404
2025-08-05,Spotting Winners: NBT Bancorp (NASDAQ:NBTB) And Regional Banks Stocks In Q2,Yahoo Finance,https://finance.yahoo.com/news/spotting-winners-nbt-bancorp-nasdaq-033200902.html,alphavantage,0.4767
2025-08-07,St. Petersburg bank lays off employees as it cuts loan program,Business Observer,https://www.businessobserverfl.com/news/2025/aug/07/st-petersburg-bank-lays-off-employees/,alphavantage,-0.296
2025-10-11,"Imperial Bank of Commerce: The rise in gold prices is due to concerns about long-term inflation. Gold will rise to $4,500 in the next two years. - Bitget",Bitget,https://www.bitget.com/amp/news/detail/12560605010785,alphavantage,0.0
2025-10-12,"Motilal Oswal recommends HDFC Bank, SBI as top picks ahead of RBI’s ECL regime transition - The Economic Times",The Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/motilal-oswal-recommends-hdfc-bank-sbi-as-top-picks-ahead-of-rbis-ecl-regime-transition/articleshow/124496994.cms?from=mdr,alphavantage,0.4019
2025-10-12,"Is Wells Fargo the Big Bank to Buy Now? Latest WFC Stock Price, News & Forecasts (Oct 2025) - ts2.tech",ts2.tech,https://ts2.tech/en/is-wells-fargo-the-big-bank-to-buy-now-latest-wfc-stock-price-news-forecasts-oct-2025/,alphavantage,0.25
2025-10-12,Wall St Week Ahead: Investors seek economic clues from bank earnings amid data fog - Khaleej Times,Khaleej Times,https://www.khaleejtimes.com/business/markets/wall-st-week-ahead-investors-seek-economic-clues-from-bank-earnings-amid-data-fog-3?amp=1,alphavantage,0.0
2025-10-13,Wall Street Week Ahead: Investors seek economic clues from bank earnings amid data fog - Business Recorder,Business Recorder,https://www.brecorder.com/news/40387048/wall-street-week-ahead-investors-seek-economic-clues-from-bank-earnings-amid-data-fog,alphavantage,0.0
2025-10-13,Wall Street Week Ahead: Investors seek economic clues from bank earnings amid data fog,Business Recorder,https://www.brecorder.com/news/amp/40387048,alphavantage,0.0
2025-10-13,"Spotlight On: Kenneth Mitchell, Division Manager, New York Metro Commercial Banking, Popular Bank",Capital Analytics Associates,https://capitalanalyticsassociates.com/spotlight-on-kenneth-mitchell-division-manager-new-york-metro-commercial-banking-popular-bank/,alphavantage,0.4215
2025-10-13,Why Regional Banks Might Be the Value Play Everyone's Missing - AOL.com,AOL.com,https://www.aol.com/articles/why-regional-banks-might-value-115300131.html,alphavantage,0.3818
2025-12-31,"How to Choose Canadian Bank Stocks: Safety, Upside, or Yield?",NAI500,https://nai500.com/blog/2025/12/how-to-choose-canadian-bank-stocks-safety-upside-or-yield/,alphavantage,0.4215
2025-12-31,The Truth About Banc of California: Is This ‘Boring’ Bank About To Go Viral On Wall Street?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-banc-of-california-is-this-boring-bank-about-to-go/68442814,alphavantage,0.3182
2025-12-31,NatWest Group plc (ADR): Boring Bank Stock or Sneaky Genius Money Move?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/natwest-group-plc-adr-boring-bank-stock-or-sneaky-genius-money-move/68443048,alphavantage,-0.4939
2025-12-31,"Ascent Group LLC Buys 22,531 Shares of Bank of America Corporation $BAC",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-ascent-group-llc-buys-22531-shares-of-bank-of-america-corporation-bac-2025-12-31/,alphavantage,0.296
2025-12-31,The Truth About Cadence Bank (CADE): Underdog Stock or Sleepy Side Quest?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/the-truth-about-cadence-bank-cade-underdog-stock-or-sleepy-side-quest/68443939,alphavantage,0.3182
2025-12-31,"The Zacks Analyst Blog Highlights Bank of America, Wells Fargo and U.S. Bancorp",Yahoo Finance,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-bank-120700109.html,alphavantage,0.25
2025-12-31,JPMorgan stock slips on final trading day of 2025 as banks lag; what to watch next,ts2.tech,https://ts2.tech/en/jpmorgan-stock-slips-on-final-trading-day-of-2025-as-banks-lag-what-to-watch-next/,alphavantage,-0.34
2025-12-31,Q3 Earnings Outperformers: Coastal Financial (NASDAQ:CCB) And The Rest Of The Regional Banks Stocks,Finviz,https://finviz.com/news/265755/q3-earnings-outperformers-coastal-financial-nasdaq-ccb-and-the-rest-of-the-regional-banks-stocks,alphavantage,0.0
2025-12-31,Bank of America stock dips as Fed repo borrowing hits a record at year-end,ts2.tech,https://ts2.tech/en/bank-of-america-stock-dips-as-fed-repo-borrowing-hits-a-record-at-year-end/,alphavantage,0.0
2026-01-01,Wells Fargo stock ends 2025 lower as banks slip; WFC earnings and key US data ahead,ts2.tech,https://ts2.tech/en/wells-fargo-stock-ends-2025-lower-as-banks-slip-wfc-earnings-and-key-us-data-ahead/,alphavantage,-0.0516
2026-01-01,"First Hawaiian Inc: Quiet Island Bank, Noisy Market Signals",AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/first-hawaiian-inc-quiet-island-bank-noisy-market-signals/68447050,alphavantage,-0.1779
2026-01-01,Bank of Nova Scotia stock: Quiet consolidation or value trap in the making?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/bank-of-nova-scotia-stock-quiet-consolidation-or-value-trap-in-the/68446904,alphavantage,0.0258
2026-01-01,"ICICI Bank Ltd: Solid Rally, Subtle Jitters – What The Latest Price Action Really Says",AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/icici-bank-ltd-solid-rally-subtle-jitters-what-the-latest-price/68447447,alphavantage,0.1531
2026-01-01,The Truth About Zions Bancorp: Is This Regional Bank Stock a Secret Power Play or Just Hype?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-zions-bancorp-is-this-regional-bank-stock-a-secret-power/68447887,alphavantage,0.5719
2026-01-01,BOK Financial Corp: Regional Bank Quietly Tests Investor Patience As Stock Drifts Sideways,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/bok-financial-corp-regional-bank-quietly-tests-investor-patience-as-stock/68448382,alphavantage,0.0
2026-01-01,"Bank of Hawaii Stock: Quiet Surface, Rising Undercurrents In A Nervous Regional?Bank Trade",AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/bank-of-hawaii-stock-quiet-surface-rising-undercurrents-in-a-nervous/68448643,alphavantage,-0.2732
2026-04-01,Southside Bancshares Stock: A Steady Regional Banking Play for North American Investors in 2026,AD HOC NEWS,https://www.ad-hoc-news.de/news/ueberblick/southside-bancshares-stock-a-steady-regional-banking-play-for-north/69044385,alphavantage,0.34
2026-04-01,Bank of America (NYSE:BAC) Upgraded to Buy at HSBC,MarketBeat,https://www.marketbeat.com/instant-alerts/bank-of-america-nysebac-upgraded-to-buy-at-hsbc-2026-04-01/,alphavantage,0.0
2026-04-01,First Financial Bancorp Stock: Regional Banking Leader with Strong Fundamentals and Growth Potential,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/first-financial-bancorp-stock-regional-banking-leader-with-strong/69048398,alphavantage,0.7096
2026-04-01,Community Bank System Stock: A Steady Regional Banking Play for North American Investors Amid Evolving Sector Dynamics,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/community-bank-system-stock-a-steady-regional-banking-play-for-north/69049517,alphavantage,0.5423
2026-04-01,Stellar Bancorp Inc Stock: Regional Banking Leader Focused on Texas Growth and Community Lending,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/stellar-bancorp-inc-stock-regional-banking-leader-focused-on-texas-growth/69050966,alphavantage,0.6369
2026-04-01,Heritage Financial Corp Stock: Regional Banking Stability in the Pacific Northwest,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/heritage-financial-corp-stock-regional-banking-stability-in-the-pacific/69050417,alphavantage,0.0
2026-04-01,FVCBankcorp Inc Stock: Regional Banking Stability and Growth Potential for North American Investors,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/fvcbankcorp-inc-stock-regional-banking-stability-and-growth-potential-for/69050894,alphavantage,0.3818
2026-04-02,"One on One with Ja Hillebrand, CEO of Stock Yards Bank",Lane Report,https://www.lanereport.com/186894/2026/04/one-on-one-with-ja-hillebrand-ceo-of-stock-yards-bank/,alphavantage,0.0
2026-04-02,Zions Bancorporation Stock: Regional Banking Leader Faces Economic Headwinds Amid Analyst Adjustment,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/zions-bancorporation-stock-regional-banking-leader-faces-economic/69052105,alphavantage,0.0
2026-04-02,MetroCity Bankshares Stock: Regional Banking Stability and Growth Potential for North American Investors,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/metrocity-bankshares-stock-regional-banking-stability-and-growth/69052481,alphavantage,0.3818
2026-04-02,Citigroup Inc Stock: Navigating Transformation and Growth Opportunities in a Dynamic Banking Landsca,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/citigroup-inc-stock-navigating-transformation-and-growth-opportunities-in/69056581,alphavantage,0.7783
2026-04-02,Byline Bancorp Inc Stock: Regional Banking Stability and Growth Potential for North American Investo,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/byline-bancorp-inc-stock-regional-banking-stability-and-growth-potential/69057341,alphavantage,0.3818
2026-04-02,Barclays plc Stock: A Cornerstone of Global Banking with Steady Presence for North American Investor,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/barclays-plc-stock-a-cornerstone-of-global-banking-with-steady-presence/69057340,alphavantage,0.0
2026-04-02,Norwood Financial Corp Stock: Community Banking Stability in Northeast Markets Amid Economic Shifts,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/norwood-financial-corp-stock-community-banking-stability-in-northeast/69059070,alphavantage,0.0
2026-04-03,UBS Group AG Stock: Swiss Banking Powerhouse with Global Reach and Strategic Focus for North America,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/ubs-group-ag-stock-swiss-banking-powerhouse-with-global-reach-and/69060461,alphavantage,0.0258
2026-04-03,Regional Banks Stocks Q4 Recap: Benchmarking Fifth Third Bancorp (NASDAQ:FITB),StockStory,https://stockstory.org/us/stocks/nasdaq/fitb/news/earnings/regional-banks-stocks-q4-recap-benchmarking-fifth-third-bancorp-nasdaqfitb,alphavantage,0.0
2026-04-03,"The Goldman Sachs Group, Inc. stock: 12% S&P growth call amid bank earnings watch",AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/the-goldman-sachs-group-inc-stock-12-percent-s-and-p-growth-call-amid/69063684,alphavantage,0.3818
2026-04-03,ING Groep N.V. stock: Solid dividends amid bank sector shifts – buy now?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/ing-groep-n-v-stock-solid-dividends-amid-bank-sector-shifts-buy-now/69064018,alphavantage,0.1531
2026-04-03,Cadence Bank stock: Moderate Buy consensus amid regional bank shifts,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/cadence-bank-stock-moderate-buy-consensus-amid-regional-bank-shifts/69064125,alphavantage,0.0
2026-04-03,ING Groep N.V. stock: 5.5% yield amid bank shifts – buy now?,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/ing-groep-n-v-stock-5-5-percent-yield-amid-bank-shifts-buy-now/69065799,alphavantage,0.0
2026-04-03,KB Financial Group Inc stock: Korea's banking powerhouse you need to watch,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/kb-financial-group-inc-stock-korea-s-banking-powerhouse-you-need-to-watch/69066972,alphavantage,0.0
